Mapped labels: spam->1, ham->0.
Removed stopwords: english.
Vectorized data with count BoW.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
        20           0.1530           34.55s
        30           0.0929           29.02s
        40           0.0681           24.02s
        50           0.0513           19.51s
        60           0.0402           15.31s
        70           0.0329           11.36s
        80           0.0282            7.56s
        90           0.0233            3.77s
       100           0.0201            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5594            4.90m
         2           0.4508            4.87m
         3           0.3844            6.16m
         4           0.3380            5.89m
         5           0.2989            5.82m
         6           0.2694            5.78m
         7           0.2487            5.74m
         8           0.2351            5.89m
         9           0.2250            5.88m
        10           0.2129            5.88m
        20           0.1186            6.14m
        30           0.0787            6.03m
        40           0.0526            5.92m
        50           0.0412            5.77m
        60           0.0328            5.71m
        70           0.0265            5.65m
        80           0.0226            5.49m
        90           0.0195            5.39m
       100           0.0164            5.38m
       200           0.0037            5.15m
       300           0.0011            4.33m
       400           0.0003            3.60m
       500           0.0001            2.99m
       600           0.0000            2.41m
       700           0.0000            1.83m
       800           0.0000            1.20m
       900           0.0000           35.57s
      1000           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7179           33.17s
         2           0.6776           32.17s
         3           0.6492           34.92s
         4           0.6228           35.65s
         5           0.5960           35.89s
         6           0.5749           35.76s
         7           0.5577           36.88s
         8           0.5435           37.17s
         9           0.5279           37.34s
        10           0.5099           37.27s
        20           0.4151           35.57s
        30           0.3543           30.44s
        40           0.3124           25.10s
        50           0.2814           20.86s
        60           0.2577           16.60s
        70           0.2399           12.31s
        80           0.2200            8.08s
        90           0.1987            4.06s
       100           0.1818            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6623           38.64s
         2           0.6457           39.43s
         3           0.6306           42.78s
         4           0.6178           44.71s
         5           0.6065           44.74s
         6           0.5954           43.97s
         7           0.5840           44.33s
         8           0.5750           42.36s
         9           0.5660           40.80s
        10           0.5584           39.51s
        20           0.4898           32.16s
        30           0.4471           26.15s
        40           0.4134           22.04s
        50           0.3863           18.58s
        60           0.3659           15.32s
        70           0.3508           11.54s
        80           0.3388            7.97s
        90           0.3261            3.99s
       100           0.3156            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6622           12.04m
