Mapped labels: spam->1, ham->0.
Removed stopwords: english.
Vectorized data with TF-IDF.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
         7           0.5840           25.78s
         8           0.5740           25.21s
         9           0.5641           24.61s
        10           0.5565           24.18s
        20           0.4891           20.89s
        30           0.4438           18.13s
        40           0.4107           16.08s
        50           0.3842           13.36s
        60           0.3621           10.74s
        70           0.3500            8.07s
        80           0.3373            5.39s
        90           0.3269            2.67s
       100           0.3174            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6630            2.41m
         2           0.6470            2.17m
         3           0.6343            2.09m
         4           0.6211            2.06m
         5           0.6096            2.03m
         6           0.5989            2.04m
         7           0.5893            2.12m
         8           0.5792            2.17m
         9           0.5706            2.15m
        10           0.5628            2.12m
        20           0.4948            2.11m
        30           0.4490            2.08m
        40           0.4169            2.06m
        50           0.3908            1.99m
        60           0.3701            1.95m
        70           0.3573            1.91m
        80           0.3481            1.84m
        90           0.3348            1.81m
       100           0.3247            1.77m
       200           0.2427            1.38m
       300           0.1850           54.21s
       400           0.1430           26.80s
       500           0.1119            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6311            2.12m
         2           0.5553            2.53m
         3           0.5043            2.44m
         4           0.4691            2.35m
         5           0.4390            2.29m
         6           0.4123            2.27m
         7           0.3947            2.24m
         8           0.3747            2.32m
         9           0.3586            2.36m
        10           0.3440            2.34m
        20           0.2417            2.22m
        30           0.1816            2.11m
        40           0.1345            2.09m
        50           0.1090            2.03m
        60           0.0911            1.99m
        70           0.0778            1.92m
        80           0.0694            1.87m
        90           0.0615            1.82m
       100           0.0562            1.78m
       200           0.0242            1.34m
       300           0.0129           53.54s
       400           0.0072           26.60s
       500           0.0040            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6371           28.65s
         2           0.6035           26.99s
         3           0.5786           25.85s
         4           0.5556           25.15s
         5           0.5352           25.21s
         6           0.5197           24.85s
         7           0.4999           24.61s
         8           0.4882           24.13s
         9           0.4774           24.32s
        10           0.4628           23.86s
        20           0.3873           21.70s
        30           0.3454           19.17s
        40           0.3145           16.14s
        50           0.2866           13.56s
        60           0.2660           10.84s
        70           0.2483            8.15s
        80           0.2229            5.44s
        90           0.2117            2.72s
       100           0.1983            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6397            4.20m
         2           0.6066            4.99m
         3           0.5785            4.70m
         4           0.5543            4.55m
         5           0.5351            4.74m
         6           0.5184            4.67m
         7           0.5009            4.62m
         8           0.4827            4.54m
         9           0.4722            4.50m
        10           0.4621            4.48m
        20           0.3745            4.36m
        30           0.3399            4.30m
        40           0.3073            4.18m
        50           0.2781            4.10m
        60           0.2599            4.14m
        70           0.2428            4.11m
        80           0.2215            4.08m
        90           0.2034            4.02m
       100           0.1914            3.96m
       200           0.0958            3.48m
       300           0.0503            3.08m
       400           0.0274            2.64m
       500           0.0157            2.21m
       600           0.0089            1.77m
       700           0.0050            1.33m
       800           0.0029           53.09s
       900           0.0016           26.54s
      1000           0.0009            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6069            2.12m
         2           0.5627            2.07m
         3           0.5295            2.07m
         4           0.5022            2.13m
         5           0.4790            2.22m
         6           0.4595            2.21m
         7           0.4355            2.24m
         8           0.4191            2.22m
         9           0.4105            2.24m
        10           0.3956            2.24m
        20           0.3407            2.17m
        30           0.2839            2.12m
        40           0.2488            2.11m
        50           0.2191            2.05m
        60           0.1903            1.98m
        70           0.1696            1.92m
        80           0.1471            1.88m
        90           0.1328            1.82m
       100           0.1166            1.76m
       200           0.0410            1.34m
       300           0.0137           51.49s
       400           0.0049           25.19s
       500           0.0019            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7132           21.90s
         2           0.6705           23.47s
         3           0.6384           23.71s
         4           0.6117           23.56s
         5           0.5877           24.02s
         6           0.5670           24.71s
         7           0.5486           24.38s
         8           0.5295           24.02s
         9           0.5151           24.05s
        10           0.5007           26.53s
        20           0.4066           22.38s
        30           0.3459           19.62s
        40           0.3033           16.75s
        50           0.2701           13.60s
        60           0.2458           10.78s
        70           0.2244            8.14s
        80           0.2065            5.42s
        90           0.1906            2.73s
       100           0.1693            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6630           24.31s
         2           0.6470           24.36s
         3           0.6343           26.71s
         4           0.6211           25.98s
         5           0.6096           25.24s
         6           0.5989           24.72s
         7           0.5893           24.30s
         8           0.5792           23.89s
         9           0.5706           23.53s
        10           0.5628           23.23s
        20           0.4948           20.83s
        30           0.4490           18.09s
        40           0.4169           15.55s
        50           0.3908           13.06s
        60           0.3701           10.49s
        70           0.3573            7.89s
        80           0.3481            5.19s
        90           0.3348            2.59s
       100           0.3247            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6627            2.03m
         2           0.6475            2.11m
         3           0.6320            2.10m
         4           0.6190            2.08m
         5           0.6068            2.07m
         6           0.5947            2.09m
         7           0.5840            2.07m
         8           0.5740            2.06m
         9           0.5641            2.05m
        10           0.5565            2.04m
        20           0.4891            2.12m
        30           0.4438            2.09m
        40           0.4107            2.05m
        50           0.3842            1.99m
        60           0.3621            1.94m
        70           0.3500            1.90m
        80           0.3373            1.84m
        90           0.3269            1.79m
       100           0.3174            1.74m
       200           0.2313            1.37m
       300           0.1761           54.38s
       400           0.1361           26.69s
       500           0.1056            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6307           28.30s
         2           0.5625           30.31s
         3           0.5151           29.07s
         4           0.4832           28.45s
         5           0.4543           28.44s
         6           0.4262           29.31s
         7           0.4051           28.60s
         8           0.3877           27.71s
         9           0.3722           27.58s
        10           0.3543           27.24s
        20           0.2534           22.81s
        30           0.2033           19.19s
        40           0.1515           16.37s
        50           0.1214           13.97s
        60           0.1035           11.03s
        70           0.0904            8.18s
        80           0.0808            5.40s
        90           0.0712            2.70s
       100           0.0645            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6251            4.07m
         2           0.5555            4.48m
         3           0.5126            4.54m
         4           0.4733            4.46m
         5           0.4423            4.47m
         6           0.4152            4.40m
         7           0.3882            4.39m
         8           0.3700            4.54m
         9           0.3538            4.51m
        10           0.3404            4.48m
        20           0.2424            4.33m
        30           0.1900            4.16m
        40           0.1405            4.08m
        50           0.1136            4.03m
        60           0.0982            4.04m
        70           0.0857            4.02m
        80           0.0752            3.96m
        90           0.0682            3.90m
       100           0.0621            3.85m
       200           0.0275            3.47m
       300           0.0148            3.05m
       400           0.0083            2.62m
       500           0.0047            2.19m
       600           0.0027            1.75m
       700           0.0016            1.32m
       800           0.0009           52.75s
       900           0.0005           26.34s
      1000           0.0003            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5623            2.18m
         2           0.4624            2.65m
         3           0.4061            2.54m
         4           0.3548            2.45m
         5           0.3241            2.40m
         6           0.3032            2.40m
         7           0.2725            2.40m
         8           0.2550            2.40m
         9           0.2427            2.36m
        10           0.2196            2.36m
        20           0.1345            2.31m
        30           0.0815            2.21m
        40           0.0559            2.21m
        50           0.0420            2.15m
        60           0.0328            2.08m
        70           0.0267            2.01m
        80           0.0208            1.94m
        90           0.0170            1.90m
       100           0.0137            1.85m
       200           0.0028            1.35m
       300           0.0006           54.66s
       400           0.0002           27.05s
       500           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6075            2.69m
         2           0.5588            2.38m
         3           0.5206            2.31m
         4           0.4862            2.26m
         5           0.4653            2.34m
         6           0.4466            2.52m
         7           0.4168            2.48m
         8           0.4022            2.45m
         9           0.3884            2.41m
        10           0.3767            2.38m
        20           0.3260            2.26m
        30           0.2594            2.16m
        40           0.2216            2.08m
        50           0.1943            2.02m
        60           0.1662            1.95m
        70           0.1465            1.93m
        80           0.1311            1.87m
        90           0.1125            1.81m
       100           0.1022            1.77m
       200           0.0304            1.32m
       300           0.0099           53.04s
       400           0.0032           26.49s
       500           0.0011            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7165           24.95s
         2           0.6738           24.95s
         3           0.6421           24.89s
         4           0.6129           24.62s
         5           0.5907           24.24s
         6           0.5692           24.72s
         7           0.5494           24.75s
         8           0.5325           24.40s
         9           0.5173           24.18s
        10           0.5020           25.20s
        20           0.4007           22.11s
        30           0.3394           19.40s
        40           0.2965           17.45s
        50           0.2667           14.37s
        60           0.2385           11.19s
        70           0.2168            8.56s
        80           0.1978            5.68s
        90           0.1748            2.80s
       100           0.1616            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6623            3.86m
         2           0.6452            3.41m
         3           0.6311            3.50m
         4           0.6170            3.46m
         5           0.6049            3.21m
         6           0.5923            3.01m
         7           0.5818            2.86m
         8           0.5707            2.74m
         9           0.5612            2.66m
        10           0.5532            2.59m
        20           0.4856            2.44m
        30           0.4429            2.26m
        40           0.4104            2.13m
        50           0.3840            2.05m
        60           0.3634            1.99m
        70           0.3475            1.91m
        80           0.3332            1.84m
        90           0.3201            1.81m
       100           0.3084            1.76m
       200           0.2186            1.31m
       300           0.1610           53.63s
       400           0.1219           26.83s
       500           0.0932            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6311           22.96s
         2           0.5553           23.06s
         3           0.5043           22.81s
         4           0.4691           23.47s
         5           0.4390           23.18s
         6           0.4123           22.90s
         7           0.3946           22.55s
         8           0.3746           22.14s
         9           0.3584           22.39s
        10           0.3438           22.08s
        20           0.2424           19.30s
        30           0.1841           17.51s
        40           0.1314           15.26s
        50           0.1042           12.73s
        60           0.0875           10.47s
        70           0.0757            7.82s
        80           0.0667            5.24s
        90           0.0594            2.62s
       100           0.0536            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6325            2.54m
         2           0.5644            2.39m
         3           0.5214            2.42m
         4           0.4852            2.37m
         5           0.4502            2.31m
         6           0.4255            2.26m
         7           0.4056            2.24m
         8           0.3881            2.22m
         9           0.3716            2.20m
        10           0.3580            2.17m
        20           0.2591            2.14m
        30           0.2000            2.21m
        40           0.1504            2.14m
        50           0.1215            2.07m
        60           0.1037            2.00m
        70           0.0898            2.01m
        80           0.0800            1.95m
        90           0.0720            1.88m
       100           0.0652            1.84m
       200           0.0297            1.37m
       300           0.0161           54.38s
       400           0.0091           27.21s
       500           0.0052            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6397            2.03m
         2           0.6066            2.30m
         3           0.5785            2.22m
         4           0.5542            2.18m
         5           0.5350            2.16m
         6           0.5183            2.13m
         7           0.5008            2.11m
         8           0.4828            2.10m
         9           0.4722            2.20m
        10           0.4621            2.26m
        20           0.3747            2.07m
        30           0.3401            2.03m
        40           0.3072            1.95m
        50           0.2791            1.90m
        60           0.2585            1.87m
        70           0.2443            1.85m
        80           0.2229            1.84m
        90           0.2033            1.80m
       100           0.1937            1.79m
       200           0.0966            1.34m
       300           0.0520           53.87s
       400           0.0285           26.79s
       500           0.0160            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5691           24.32s
         2           0.4653           24.27s
         3           0.3958           25.46s
         4           0.3570           27.65s
         5           0.3217           26.59s
         6           0.2936           25.77s
         7           0.2670           25.30s
         8           0.2485           24.72s
         9           0.2381           24.86s
        10           0.2282           24.38s
        20           0.1491           21.56s
        30           0.0788           18.61s
        40           0.0543           15.70s
        50           0.0393           13.12s
        60           0.0298           10.70s
        70           0.0240            8.02s
        80           0.0197            5.37s
        90           0.0166            2.72s
       100           0.0134            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5529            4.63m
         2           0.4462            4.41m
