Mapped labels: spam->1, ham->0.
Replaced long strings of numbers and dashes with a unique word.
Replaced 5 digit numbers with a unique word.
Replaced monetary amounts with a unique word.
Vectorized data with binary BoW.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
        30           0.1471           17.93s
        40           0.1289           15.36s
        50           0.1060           12.83s
        60           0.0882           10.30s
        70           0.0720            7.78s
        80           0.0602            5.16s
        90           0.0535            2.57s
       100           0.0442            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4955            4.16m
         2           0.3921            4.29m
         3           0.3350            4.39m
      Iter       Train Loss   Remaining Time 
         1           0.6381           52.85s
         2           0.5568           48.01s
         3           0.5000           44.79s
         4           0.4554           40.88s
         5           0.4184           38.96s
         6           0.3881           37.68s
         7           0.3626           35.93s
         8           0.3408           35.05s
         9           0.3215           33.97s
        10           0.3034           33.05s
        20           0.2019           25.74s
        30           0.1497           21.07s
        40           0.1139           17.41s
        50           0.0962           14.41s
        60           0.0851           11.59s
        70           0.0758            8.75s
        80           0.0703            5.81s
        90           0.0626            2.91s
       100           0.0587            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6374           29.11s
         2           0.5984           27.83s
         3           0.5637           28.17s
         4           0.5330           28.73s
         5           0.5061           29.18s
         6           0.4816           28.52s
         7           0.4603           28.10s
         8           0.4408           27.84s
         9           0.4220           27.49s
        10           0.4063           27.47s
        20           0.3132           24.81s
        30           0.2862           21.63s
        40           0.2729           18.57s
        50           0.2552           15.68s
        60           0.2454           12.42s
        70           0.2350            9.27s
        80           0.2230            6.09s
        90           0.2141            3.04s
       100           0.2042            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6359            5.12m
         2           0.5955            5.31m
         3           0.5601            5.17m
         4           0.5279            5.19m
         5           0.4997            5.17m
         6           0.4742            5.19m
         7           0.4517            5.17m
         8           0.4314            5.19m
         9           0.4119            5.17m
        10           0.3943            5.15m
        20           0.2988            5.19m
        30           0.2664            5.13m
        40           0.2499            5.06m
        50           0.2356            4.98m
        60           0.2232            4.91m
        70           0.2073            4.86m
        80           0.1968            4.76m
        90           0.1857            4.67m
       100           0.1778            4.59m
       200           0.1084            3.99m
       300           0.0700            3.47m
       400           0.0473            2.93m
       500           0.0327            2.44m
       600           0.0230            1.99m
       700           0.0161            1.50m
       800           0.0113            1.00m
       900           0.0082           29.90s
      1000           0.0058            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5760           42.82s
         2           0.4970           41.08s
         3           0.4392           40.36s
         4           0.3951           38.07s
         5           0.3606           38.73s
         6           0.3350           38.63s
         7           0.3126           38.32s
         8           0.3042           38.25s
         9           0.2915           37.07s
        10           0.2794           36.70s
        20           0.2389           29.83s
        30           0.2085           25.40s
        40           0.1789           21.48s
        50           0.1613           17.72s
        60           0.1426           14.06s
        70           0.1267           10.50s
        80           0.1127            6.90s
        90           0.1015            3.41s
       100           0.0893            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5784           29.16s
         2           0.5031           29.15s
         3           0.4476           29.26s
         4           0.4030           29.49s
         5           0.3656           29.51s
         6           0.3379           29.53s
         7           0.3183           29.95s
         8           0.3064           29.94s
         9           0.2983           30.06s
        10           0.2865           29.95s
        20           0.2450           26.03s
        30           0.2203           23.03s
        40           0.1976           19.58s
        50           0.1716           16.36s
        60           0.1557           13.11s
        70           0.1386            9.83s
        80           0.1245            6.58s
        90           0.1123            3.30s
       100           0.1020            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5741            2.57m
         2           0.4962            2.53m
         3           0.4335            2.59m
         4           0.3892            2.62m
         5           0.3547            2.65m
         6           0.3276            2.67m
         7           0.3086            2.67m
         8           0.2919            2.67m
         9           0.2829            2.65m
        10           0.2705            2.66m
        20           0.2355            2.66m
        30           0.2066            2.65m
        40           0.1817            2.57m
        50           0.1544            2.49m
        60           0.1362            2.42m
        70           0.1209            2.37m
        80           0.1079            2.32m
        90           0.0959            2.26m
       100           0.0842            2.20m
       200           0.0308            1.63m
       300           0.0120            1.08m
       400           0.0050           32.27s
       500           0.0021            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3027            3.79m
         2           0.2168            3.19m
         3           0.1767            3.05m
         4           0.1538            2.95m
         5           0.1340            2.90m
         6           0.1209            2.84m
         7           0.1051            2.80m
         8           0.0971            2.78m
         9           0.0867            2.75m
        10           0.0794            2.80m
        20           0.0250            2.75m
        30           0.0126            2.62m
        40           0.0088            2.54m
        50           0.0064            2.49m
        60           0.0048            2.41m
        70           0.0038            2.35m
        80           0.0029            2.28m
        90           0.0018            2.23m
       100           0.0014            2.17m
       200           0.0001            1.61m
       300           0.0000            1.06m
       400           0.0000           30.62s
       500           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5019           25.33s
         2           0.4021           25.10s
         3           0.3455           25.75s
         4           0.3099           25.46s
         5           0.2983           25.17s
         6           0.2792           25.59s
         7           0.2758           25.24s
         8           0.2733           24.80s
         9           0.2708           24.43s
        10           0.2683           23.98s
        20           0.2139           21.51s
        30           0.1744           18.59s
        40           0.1374           15.89s
        50           0.1164           13.19s
        60           0.1011           10.56s
        70           0.0838            7.91s
        80           0.0710            5.24s
        90           0.0590            2.62s
       100           0.0485            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4999            4.08m
         2           0.4017            4.15m
         3           0.3426            4.51m
      Iter       Train Loss   Remaining Time 
         1           0.6381            3.56m
         2           0.5568            4.03m
         3           0.5000            3.90m
         4           0.4554            4.00m
         5           0.4184            4.00m
         6           0.3881            3.96m
         7           0.3626            4.05m
         8           0.3408            4.14m
         9           0.3215            4.08m
        10           0.3034            3.97m
        20           0.2019            3.22m
        30           0.1497            3.10m
        40           0.1139            3.14m
        50           0.0962            3.15m
        60           0.0851            2.96m
        70           0.0758            2.89m
        80           0.0703            2.85m
        90           0.0647            2.75m
       100           0.0614            2.67m
       200           0.0356            2.11m
       300           0.0233            1.32m
       400           0.0158           38.38s
       500           0.0109            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4557           25.37s
         2           0.3689           25.22s
         3           0.3105           25.23s
         4           0.2717           25.48s
         5           0.2435           25.51s
         6           0.2182           25.42s
         7           0.2005           25.15s
         8           0.1786           24.81s
         9           0.1666           24.51s
        10           0.1526           24.19s
        20           0.0763           23.06s
        30           0.0535           25.70s
        40           0.0375           24.84s
        50           0.0299           22.60s
        60           0.0246           19.01s
        70           0.0206           14.49s
        80           0.0180            9.54s
        90           0.0154            4.94s
       100           0.0130            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4655            5.26m
         2           0.3819            5.16m
         3           0.3280            5.04m
         4           0.2831            4.91m
         5           0.2550            4.95m
         6           0.2306            4.96m
         7           0.2124            4.94m
         8           0.1972            4.99m
         9           0.1856            4.93m
        10           0.1728            5.02m
        20           0.0950            4.81m
        30           0.0581            4.10m
        40           0.0451            3.66m
        50           0.0360            3.42m
        60           0.0312            3.21m
        70           0.0257            3.05m
        80           0.0221            2.92m
        90           0.0189            2.81m
       100           0.0163            2.72m
       200           0.0053            1.92m
       300           0.0022            1.27m
       400           0.0010           39.87s
       500           0.0005            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5741            5.86m
         2           0.4962            6.61m
         3           0.4335            7.35m
         4           0.3892            7.41m
         5           0.3547            7.53m
         6           0.3276            7.51m
         7           0.3086            7.45m
         8           0.2919            7.35m
         9           0.2829            7.25m
        10           0.2705            7.15m
        20           0.2355            7.08m
        30           0.2066            6.89m
        40           0.1817            6.84m
        50           0.1544            6.72m
        60           0.1362            6.63m
        70           0.1209            6.55m
        80           0.1079            6.39m
        90           0.0959            6.27m
       100           0.0856            6.17m
       200           0.0296            5.34m
       300           0.0121            4.66m
       400           0.0050            4.03m
       500           0.0022            3.37m
       600           0.0010            2.72m
       700           0.0005            1.97m
       800           0.0002            1.27m
       900           0.0001           37.22s
      1000           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6401            6.04m
         2           0.5630            5.93m
         3           0.5057            6.02m
         4           0.4630            5.93m
         5           0.4278            6.08m
         6           0.3977            6.11m
         7           0.3728            5.96m
         8           0.3489            5.87m
         9           0.3302            5.83m
        10           0.3127            5.80m
        20           0.2116            5.14m
        30           0.1626            4.78m
        40           0.1319            4.56m
        50           0.1031            4.51m
        60           0.0894            4.47m
        70           0.0811            4.44m
        80           0.0750            4.38m
        90           0.0694            4.34m
       100           0.0662            4.32m
       200           0.0409            3.87m
       300           0.0278            3.49m
       400           0.0193            2.96m
       500           0.0136            2.46m
       600           0.0098            1.95m
       700           0.0071            1.45m
       800           0.0052           58.82s
       900           0.0039           29.63s
      1000           0.0029            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4599            4.79m
         2           0.3733            4.93m
         3           0.3200            5.03m
         4           0.2824            5.08m
         5           0.2559            5.12m
         6           0.2301            5.09m
         7           0.2059            5.07m
         8           0.1924            5.06m
         9           0.1774            5.05m
        10           0.1659            5.01m
        20           0.0818            5.03m
        30           0.0463            4.94m
        40           0.0340            4.87m
        50           0.0257            4.84m
        60           0.0215            4.77m
        70           0.0181            4.72m
        80           0.0155            4.68m
        90           0.0130            4.58m
       100           0.0112            4.46m
       200           0.0034            3.99m
       300           0.0014            3.62m
       400           0.0006            3.13m
       500           0.0003            2.63m
       600           0.0001            2.10m
       700           0.0001            1.58m
       800           0.0000            1.05m
       900           0.0000           31.44s
      1000           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3112            5.43m
         2           0.2312            5.28m
         3           0.1874            5.26m
         4           0.1605            5.34m
         5           0.1481            6.04m
         6           0.1318            5.95m
         7           0.1156            5.85m
         8           0.1077            5.76m
         9           0.0977            5.68m
        10           0.0897            5.64m
        20           0.0305            5.41m
        30           0.0165            5.30m
        40           0.0099            5.18m
        50           0.0065            5.14m
        60           0.0048            5.07m
        70           0.0031            5.00m
        80           0.0025            4.93m
        90           0.0020            4.91m
       100           0.0015            4.85m
       200           0.0001            4.14m
       300           0.0000            3.46m
       400           0.0000            2.85m
       500           0.0000            2.33m
       600           0.0000            1.83m
       700           0.0000            1.36m
       800           0.0000           49.87s
       900           0.0000           22.17s
      1000           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6414            5.45m
         2           0.5619            5.51m
         3           0.5067            5.67m
         4           0.4634            5.89m
         5           0.4284            5.85m
         6           0.3993            5.89m
         7           0.3750            5.75m
         8           0.3528            5.64m
         9           0.3344            5.60m
        10           0.3186            5.58m
        20           0.2147            5.04m
        30           0.1650            4.73m
        40           0.1251            4.53m
        50           0.1015            4.48m
        60           0.0881            4.45m
        70           0.0800            4.42m
        80           0.0762            4.35m
        90           0.0720            4.32m
       100           0.0657            4.30m
       200           0.0423            3.88m
       300           0.0288            3.50m
       400           0.0206            2.97m
       500           0.0149            2.46m
       600           0.0109            1.95m
       700           0.0080            1.46m
       800           0.0059           59.00s
       900           0.0045           29.69s
      1000           0.0033            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4655            5.08m
         2           0.3819            5.08m
         3           0.3280            4.99m
         4           0.2831            5.04m
         5           0.2550            5.05m
         6           0.2306            5.05m
         7           0.2124            5.00m
         8           0.1972            4.99m
         9           0.1856            4.98m
        10           0.1728            4.98m
        20           0.0950            5.00m
        30           0.0581            4.91m
        40           0.0451            4.85m
        50           0.0360            4.82m
        60           0.0312            4.75m
        70           0.0257            4.69m
        80           0.0221            4.64m
        90           0.0190            4.53m
       100           0.0168            4.42m
       200           0.0054            4.00m
       300           0.0023            3.62m
       400           0.0011            3.13m
       500           0.0005            2.63m
       600           0.0003            2.11m
       700           0.0001            1.58m
       800           0.0001            1.05m
       900           0.0000           31.51s
      1000           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3088            5.10m
         2           0.2357            5.47m
         3           0.1996            5.48m
         4           0.1827            5.48m
         5           0.1585            5.47m
         6           0.1513            5.45m
         7           0.1300            5.61m
         8           0.1186            5.63m
         9           0.1108            5.59m
        10           0.1030            5.48m
        20           0.0399            5.32m
        30           0.0167            5.25m
        40           0.0103            5.23m
        50           0.0075            5.16m
        60           0.0056            5.10m
        70           0.0043            5.02m
        80           0.0031            5.02m
        90           0.0022            4.97m
       100           0.0016            4.89m
       200           0.0001            4.14m
       300           0.0000            3.47m
       400           0.0000            2.86m
       500           0.0000            2.34m
       600           0.0000            1.84m
       700           0.0000            1.37m
       800           0.0000           50.24s
       900           0.0000           22.34s
      1000           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6389            2.51m
         2           0.5587            2.53m
         3           0.5021            2.53m
         4           0.4584            2.53m
         5           0.4229            2.52m
         6           0.3930            2.51m
         7           0.3670            2.51m
         8           0.3457            2.51m
         9           0.3270            2.51m
        10           0.3104            2.51m
        20           0.2065            2.68m
        30           0.1599            2.67m
        40           0.1341            2.65m
        50           0.1021            2.65m
        60           0.0881            2.60m
        70           0.0799            2.56m
        80           0.0745            2.51m
        90           0.0689            2.47m
       100           0.0635            2.43m
       200           0.0406            2.11m
       300           0.0286            1.83m
       400           0.0205            1.58m
       500           0.0149            1.31m
       600           0.0111            1.05m
       700           0.0083           46.93s
       800           0.0063           31.22s
       900           0.0048           15.58s
